"dataset","method","case_id","fault","W","alarm_fraction","alarmed"
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","cpu",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","cpu",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","cpu",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","cpu",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","cpu",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","cpu",6,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","cpu",2,0.993,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","cpu",1,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","cpu",2,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","cpu",3,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","cpu",4,0.023,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","cpu",5,0.023,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_3","cpu",6,0.03,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","cpu",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","cpu",2,0.993,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","cpu",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","cpu",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","cpu",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","cpu",6,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","cpu",2,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","cpu",3,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","cpu",4,0.197,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","cpu",5,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","cpu",6,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","cpu",2,0.003,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","cpu",3,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","cpu",4,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","cpu",5,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_4","cpu",6,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","cpu",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","cpu",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","cpu",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","cpu",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","cpu",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","cpu",6,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","cpu",2,0.94,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","cpu",2,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","cpu",3,0.003,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","cpu",4,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","cpu",5,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_cpu_5","cpu",6,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","cpu",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","cpu",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","cpu",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","cpu",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","cpu",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","cpu",6,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_1","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_1","delay",2,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_1","delay",3,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_1","delay",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_1","delay",2,0.187,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_1","delay",3,0.475,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_1","delay",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_1","delay",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_1","delay",3,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_2","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_2","delay",2,0.98,TRUE
"RE1-OB","PCA","RE1-OB_adservice_delay_2","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_2","delay",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_2","delay",2,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_2","delay",3,0.016,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_2","delay",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_2","delay",2,0.963,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_2","delay",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_delay_3","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_3","delay",2,0.967,TRUE
"RE1-OB","PCA","RE1-OB_adservice_delay_3","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_3","delay",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_3","delay",2,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_3","delay",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_3","delay",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_3","delay",2,0.96,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_3","delay",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_delay_4","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_4","delay",2,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_4","delay",3,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_4","delay",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_4","delay",2,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_4","delay",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_4","delay",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_4","delay",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_4","delay",3,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_5","delay",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_delay_5","delay",2,0.977,TRUE
"RE1-OB","PCA","RE1-OB_adservice_delay_5","delay",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_5","delay",1,0.02,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_5","delay",2,0.25,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_delay_5","delay",3,0.18,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_5","delay",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_5","delay",2,0.96,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_5","delay",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_1","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_disk_1","disk",2,0.933,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_1","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_1","disk",1,0.017,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_1","disk",2,0.247,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_1","disk",3,0.885,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_1","disk",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_1","disk",2,0.95,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_1","disk",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_2","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_disk_2","disk",2,0.99,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_2","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_2","disk",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_2","disk",2,0.09,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_2","disk",3,0.098,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_2","disk",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_2","disk",2,0.99,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_2","disk",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_3","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_disk_3","disk",2,0.877,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_3","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_3","disk",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_3","disk",2,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_3","disk",3,0.066,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_3","disk",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_3","disk",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_3","disk",3,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_disk_4","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_disk_4","disk",2,0.97,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_4","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_4","disk",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_4","disk",2,0.207,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_4","disk",3,0.295,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_4","disk",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_4","disk",2,0.97,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_4","disk",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_5","disk",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_disk_5","disk",2,0.933,TRUE
"RE1-OB","PCA","RE1-OB_adservice_disk_5","disk",3,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_5","disk",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_5","disk",2,0.057,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_disk_5","disk",3,0.213,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_5","disk",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_5","disk",2,0.933,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_5","disk",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_1","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_1","mem",2,0.947,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_1","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_1","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_1","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_1","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","mem",1,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","mem",2,0.23,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","mem",3,0.253,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","mem",4,0.277,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","mem",5,0.203,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_1","mem",6,0.193,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","mem",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","mem",2,0.947,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","mem",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","mem",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","mem",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","mem",6,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_2","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_2","mem",2,0.963,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_2","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_2","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_2","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_2","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","mem",1,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","mem",2,0.127,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","mem",3,0.193,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","mem",4,0.307,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","mem",5,0.51,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_2","mem",6,0.597,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","mem",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","mem",2,0.963,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","mem",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","mem",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","mem",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","mem",6,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_3","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_3","mem",2,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_3","mem",3,0.05,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_3","mem",4,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_3","mem",5,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_3","mem",6,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","mem",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","mem",2,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","mem",3,0.003,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","mem",4,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","mem",5,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_3","mem",6,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","mem",1,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","mem",2,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","mem",3,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","mem",4,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","mem",5,0,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","mem",6,0,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_4","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_4","mem",2,0.993,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_4","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_4","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_4","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_4","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","mem",1,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","mem",2,0.36,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","mem",3,0.637,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","mem",4,0.273,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","mem",5,0.497,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_4","mem",6,0.383,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","mem",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","mem",2,0.96,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","mem",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","mem",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","mem",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","mem",6,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_5","mem",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_adservice_mem_5","mem",2,0.97,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_5","mem",3,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_5","mem",4,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_5","mem",5,1,TRUE
"RE1-OB","PCA","RE1-OB_adservice_mem_5","mem",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","mem",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","mem",2,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","mem",3,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","mem",4,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","mem",5,0.003,FALSE
"RE1-OB","Isolation Forest","RE1-OB_adservice_mem_5","mem",6,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","mem",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","mem",2,0.97,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","mem",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","mem",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","mem",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","mem",6,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cpu",2,0.967,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cpu",1,0.01,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cpu",2,0.023,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cpu",3,0.02,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cpu",4,0.067,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cpu",5,0.09,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_1","cpu",6,0.123,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cpu",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cpu",2,0.967,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cpu",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cpu",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cpu",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cpu",6,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cpu",2,0.993,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cpu",3,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cpu",4,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cpu",5,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cpu",6,1,TRUE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cpu",2,0.02,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cpu",3,0.023,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cpu",4,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cpu",5,0.007,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_2","cpu",6,0.01,FALSE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cpu",1,0.007,FALSE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cpu",2,0.993,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cpu",3,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cpu",4,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cpu",5,1,TRUE
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cpu",6,1,TRUE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cpu",1,0.007,FALSE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cpu",2,0.087,FALSE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cpu",3,0,FALSE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cpu",4,0,FALSE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cpu",5,0,FALSE
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cpu",6,0,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_3","cpu",1,0.013,FALSE
"RE1-OB","Isolation Forest","RE1-OB_cartservice_cpu_3","cpu",2,0.01,FALSE
