case_id,dataset,service,fault,repeat_no,inject_time_unix,n_train,n_cal,n_ab,hcf_detected,hcf_codes,pca_detected,pca_auc,iforest_detected,iforest_auc,ocsvm_detected,ocsvm_auc
RE1-OB_cartservice_disk_4,RE1-OB,cartservice,disk,4,1702363698,180,120,300,TRUE,E01,TRUE,0.986,TRUE,0.962,TRUE,0.975
RE1-OB_cartservice_disk_5,RE1-OB,cartservice,disk,5,1702364469,180,120,300,TRUE,E01,TRUE,0.987,TRUE,0.982,TRUE,0.987
RE1-OB_checkoutservice_disk_1,RE1-OB,checkoutservice,disk,1,1702356364,180,120,300,TRUE,E01,TRUE,0.999,FALSE,0.61,TRUE,0.999
RE1-OB_checkoutservice_disk_2,RE1-OB,checkoutservice,disk,2,1702365246,180,120,300,TRUE,E01,TRUE,0.989,TRUE,0.961,FALSE,0.949
RE1-OB_checkoutservice_disk_3,RE1-OB,checkoutservice,disk,3,1702366022,180,120,300,TRUE,E01,TRUE,0.992,TRUE,0.977,TRUE,0.991
RE1-OB_checkoutservice_disk_4,RE1-OB,checkoutservice,disk,4,1702366794,180,120,300,TRUE,E01,TRUE,0.925,FALSE,0.772,FALSE,0.784
RE1-OB_checkoutservice_disk_5,RE1-OB,checkoutservice,disk,5,1702367565,180,120,300,TRUE,E01,TRUE,0.972,FALSE,0.714,FALSE,0.787
RE1-OB_currencyservice_disk_1,RE1-OB,currencyservice,disk,1,1702357134,180,120,300,TRUE,E01,TRUE,0.984,TRUE,0.979,TRUE,0.979
RE1-OB_currencyservice_disk_2,RE1-OB,currencyservice,disk,2,1702368341,180,120,300,TRUE,E01,TRUE,0.983,TRUE,0.964,FALSE,0.914
RE1-OB_currencyservice_disk_3,RE1-OB,currencyservice,disk,3,1702379974,180,120,300,TRUE,E01,TRUE,0.982,TRUE,0.981,FALSE,0.935
RE1-OB_currencyservice_disk_4,RE1-OB,currencyservice,disk,4,1702373152,180,120,300,TRUE,E01,TRUE,0.965,TRUE,0.907,FALSE,0.898
RE1-OB_currencyservice_disk_5,RE1-OB,currencyservice,disk,5,1702373924,180,120,300,TRUE,E01,TRUE,0.996,TRUE,0.903,TRUE,0.99
RE1-OB_productcatalogservice_disk_1,RE1-OB,productcatalogservice,disk,1,1702357908,180,120,300,TRUE,E01,TRUE,0.967,TRUE,0.895,FALSE,0.928
RE1-OB_productcatalogservice_disk_2,RE1-OB,productcatalogservice,disk,2,1702374697,180,120,300,TRUE,E01,TRUE,0.973,TRUE,0.965,TRUE,0.975
RE1-OB_productcatalogservice_disk_3,RE1-OB,productcatalogservice,disk,3,1702375470,180,120,300,TRUE,E01,TRUE,0.985,TRUE,0.929,FALSE,0.914
RE1-OB_productcatalogservice_disk_4,RE1-OB,productcatalogservice,disk,4,1702376238,180,120,300,TRUE,E01,TRUE,0.983,TRUE,0.949,TRUE,0.983
RE1-OB_productcatalogservice_disk_5,RE1-OB,productcatalogservice,disk,5,1702377005,180,120,300,TRUE,E01,TRUE,0.979,TRUE,0.979,TRUE,0.984
RE1-OB_adservice_mem_1,RE1-OB,adservice,mem,1,1685224742,180,120,300,TRUE,E01;E03;E10,TRUE,0.977,TRUE,0.883,TRUE,0.971
RE1-OB_adservice_mem_2,RE1-OB,adservice,mem,2,1685234046,180,120,300,TRUE,E01;E03;E10,TRUE,0.984,TRUE,0.758,TRUE,0.983
RE1-OB_adservice_mem_3,RE1-OB,adservice,mem,3,1685238391,180,120,300,TRUE,E01;E03;E10,FALSE,0.758,FALSE,0.564,FALSE,0.821
RE1-OB_adservice_mem_4,RE1-OB,adservice,mem,4,1685242738,180,120,300,TRUE,E01;E03;E10,TRUE,1,TRUE,0.884,TRUE,0.995
RE1-OB_adservice_mem_5,RE1-OB,adservice,mem,5,1685247084,180,120,300,TRUE,E01;E03;E10,TRUE,0.998,FALSE,0.63,TRUE,0.999
RE1-OB_cartservice_mem_1,RE1-OB,cartservice,mem,1,1685273133,180,120,300,TRUE,E01;E03;E05,TRUE,0.995,TRUE,0.963,FALSE,0.926
RE1-OB_cartservice_mem_2,RE1-OB,cartservice,mem,2,1685277478,180,120,300,TRUE,E01;E03;E10,TRUE,0.975,FALSE,0.529,TRUE,0.971
RE1-OB_cartservice_mem_3,RE1-OB,cartservice,mem,3,1685281821,180,120,300,TRUE,E01;E03;E05,FALSE,0.876,TRUE,0.908,FALSE,0.928
RE1-OB_cartservice_mem_4,RE1-OB,cartservice,mem,4,1685286163,180,120,300,TRUE,E01;E03;E05,TRUE,0.993,TRUE,0.413,TRUE,0.992
RE1-OB_cartservice_mem_5,RE1-OB,cartservice,mem,5,1685290508,180,120,300,TRUE,E01;E03;E05,TRUE,0.996,TRUE,0.947,FALSE,0.952
RE1-OB_checkoutservice_mem_1,RE1-OB,checkoutservice,mem,1,1685501112,180,120,300,TRUE,E01;E03;E05,TRUE,0.992,FALSE,0.668,TRUE,0.988
RE1-OB_checkoutservice_mem_2,RE1-OB,checkoutservice,mem,2,1685505453,180,120,300,TRUE,E01;E03;E05,TRUE,0.98,TRUE,0.916,TRUE,0.989
RE1-OB_checkoutservice_mem_3,RE1-OB,checkoutservice,mem,3,1685321879,180,120,300,TRUE,E01;E03;E05,TRUE,1,TRUE,0.934,TRUE,1
RE1-OB_checkoutservice_mem_4,RE1-OB,checkoutservice,mem,4,1685326220,180,120,300,TRUE,E01;E03;E05,TRUE,0.997,TRUE,0.899,FALSE,0.952
RE1-OB_checkoutservice_mem_5,RE1-OB,checkoutservice,mem,5,1685509793,180,120,300,TRUE,E01;E03;E05,TRUE,0.644,TRUE,0.953,FALSE,0.684
RE1-OB_currencyservice_mem_1,RE1-OB,currencyservice,mem,1,1685347082,180,120,300,TRUE,E01;E03;E05,TRUE,0.989,TRUE,0.99,TRUE,0.992
RE1-OB_currencyservice_mem_2,RE1-OB,currencyservice,mem,2,1685351423,180,120,300,TRUE,E01;E03;E05,TRUE,0.743,TRUE,0.997,FALSE,0.59
RE1-OB_currencyservice_mem_3,RE1-OB,currencyservice,mem,3,1685355763,180,120,300,TRUE,E01;E03;E05,TRUE,0.97,TRUE,0.998,FALSE,0.871
RE1-OB_currencyservice_mem_4,RE1-OB,currencyservice,mem,4,1685536221,180,120,300,TRUE,E01;E03;E05,TRUE,0.993,TRUE,0.98,FALSE,0.925
RE1-OB_currencyservice_mem_5,RE1-OB,currencyservice,mem,5,1685540612,180,120,300,TRUE,E01;E03;E05,TRUE,1,TRUE,0.929,TRUE,0.999
RE1-OB_productcatalogservice_mem_1,RE1-OB,productcatalogservice,mem,1,1685383134,180,120,300,TRUE,E01;E03;E05,TRUE,0.813,TRUE,0.999,FALSE,0.583
RE1-OB_productcatalogservice_mem_2,RE1-OB,productcatalogservice,mem,2,1685387474,180,120,300,TRUE,E01;E03;E05,TRUE,0.997,TRUE,0.993,FALSE,0.725
RE1-OB_productcatalogservice_mem_3,RE1-OB,productcatalogservice,mem,3,1685391813,180,120,300,TRUE,E01;E03;E05,TRUE,0.989,TRUE,0.975,TRUE,0.985
RE1-OB_productcatalogservice_mem_4,RE1-OB,productcatalogservice,mem,4,1685396154,180,120,300,TRUE,E01;E03;E05,TRUE,0.994,TRUE,0.986,TRUE,0.993
RE1-OB_productcatalogservice_mem_5,RE1-OB,productcatalogservice,mem,5,1685400495,180,120,300,TRUE,E01;E03;E05,TRUE,0.985,TRUE,0.589,TRUE,0.985
RE1-SS_carts_cpu_1,RE1-SS,carts,cpu,1,1693068669,180,120,300,TRUE,E01;E10,TRUE,0.972,TRUE,0.913,FALSE,0.742
RE1-SS_carts_cpu_2,RE1-SS,carts,cpu,2,1693091092,180,120,300,TRUE,E01;E10,TRUE,0.979,FALSE,0.747,FALSE,0.671
RE1-SS_carts_cpu_3,RE1-SS,carts,cpu,3,1693091861,180,120,300,TRUE,E01;E10,TRUE,0.839,TRUE,0.945,FALSE,0.667
RE1-SS_carts_cpu_4,RE1-SS,carts,cpu,4,1693092993,180,120,300,TRUE,E01;E10,TRUE,0.987,FALSE,0.856,FALSE,0.758
RE1-SS_carts_cpu_5,RE1-SS,carts,cpu,5,1693093761,180,120,300,TRUE,E01;E10,FALSE,0.858,TRUE,0.944,FALSE,0.925
RE1-SS_catalogue_cpu_1,RE1-SS,catalogue,cpu,1,1693072509,180,120,300,TRUE,E01;E03;E05,TRUE,1,FALSE,0.795,FALSE,0.683
RE1-SS_catalogue_cpu_2,RE1-SS,catalogue,cpu,2,1693106277,180,120,300,TRUE,E01;E03;E05,TRUE,0.945,FALSE,0.629,FALSE,0.823
RE1-SS_catalogue_cpu_3,RE1-SS,catalogue,cpu,3,1693233443,180,120,300,TRUE,E01;E03;E05,TRUE,1,FALSE,0.771,FALSE,0.575
RE1-SS_catalogue_cpu_4,RE1-SS,catalogue,cpu,4,1693245783,180,120,300,TRUE,E01;E05,TRUE,0.991,TRUE,0.832,FALSE,0.733
RE1-SS_catalogue_cpu_5,RE1-SS,catalogue,cpu,5,1693108942,180,120,300,TRUE,E01;E03;E05,FALSE,0.212,TRUE,0.919,FALSE,0.596
RE1-SS_orders_cpu_1,RE1-SS,orders,cpu,1,1693076327,180,120,300,TRUE,E01,FALSE,0.656,TRUE,0.865,FALSE,0.771
RE1-SS_orders_cpu_2,RE1-SS,orders,cpu,2,1693121491,180,120,300,TRUE,E01,FALSE,0.651,TRUE,0.898,FALSE,0.775
RE1-SS_orders_cpu_3,RE1-SS,orders,cpu,3,1693122260,180,120,300,TRUE,E01;E05,TRUE,1,TRUE,0.944,FALSE,0.542
RE1-SS_orders_cpu_4,RE1-SS,orders,cpu,4,1693123383,180,120,300,TRUE,E01,FALSE,0.616,FALSE,0.747,FALSE,0.745
RE1-SS_orders_cpu_5,RE1-SS,orders,cpu,5,1693124153,180,120,300,TRUE,E01;E05,TRUE,1,FALSE,0.802,FALSE,0.512
RE1-SS_payment_cpu_1,RE1-SS,payment,cpu,1,1693080164,180,120,300,TRUE,E01;E03;E05,TRUE,0.989,TRUE,0.636,FALSE,0.554
RE1-SS_payment_cpu_2,RE1-SS,payment,cpu,2,1693136665,180,120,300,TRUE,E01;E03;E05,TRUE,0.985,FALSE,0.809,FALSE,0.688
RE1-SS_payment_cpu_3,RE1-SS,payment,cpu,3,1693137435,180,120,300,TRUE,E01;E05,TRUE,1,TRUE,0.974,FALSE,0.579
RE1-SS_payment_cpu_4,RE1-SS,payment,cpu,4,1693138560,180,120,300,TRUE,E01;E03;E05,TRUE,0.995,TRUE,0.932,FALSE,0.546
RE1-SS_payment_cpu_5,RE1-SS,payment,cpu,5,1693139328,180,120,300,TRUE,E01;E03;E05,FALSE,0.675,FALSE,0.83,FALSE,0.817
RE1-SS_user_cpu_1,RE1-SS,user,cpu,1,1693203092,180,120,300,TRUE,E01;E05,TRUE,0.99,TRUE,0.964,FALSE,0.667
RE1-SS_user_cpu_2,RE1-SS,user,cpu,2,1693151877,180,120,300,TRUE,E01;E03;E05,TRUE,0.958,TRUE,0.87,FALSE,0.667
RE1-SS_user_cpu_3,RE1-SS,user,cpu,3,1693152648,180,120,300,TRUE,E01;E05,TRUE,0.988,TRUE,0.888,FALSE,0.508
RE1-SS_user_cpu_4,RE1-SS,user,cpu,4,1693203865,180,120,300,TRUE,E01;E05,TRUE,0.998,TRUE,0.979,TRUE,0.998
RE1-SS_user_cpu_5,RE1-SS,user,cpu,5,1693204988,180,120,300,TRUE,E01;E03;E05,TRUE,0.999,TRUE,0.845,FALSE,0.633
RE1-TT_ts-auth-service_cpu_1,RE1-TT,ts-auth-service,cpu,1,1693187418,180,120,300,TRUE,E01;E10,TRUE,0.998,TRUE,0.648,FALSE,0.5
RE1-TT_ts-auth-service_cpu_2,RE1-TT,ts-auth-service,cpu,2,1693224546,180,120,300,TRUE,E01;E10,TRUE,0.989,TRUE,0.789,FALSE,0.583
RE1-TT_ts-auth-service_cpu_3,RE1-TT,ts-auth-service,cpu,3,1693249569,180,120,300,TRUE,E01;E10,FALSE,0.775,FALSE,0.413,FALSE,0.537
RE1-TT_ts-auth-service_cpu_4,RE1-TT,ts-auth-service,cpu,4,1693276559,180,120,300,TRUE,E01;E10,TRUE,1,TRUE,0.812,FALSE,0.512
RE1-TT_ts-auth-service_cpu_5,RE1-TT,ts-auth-service,cpu,5,1693301441,180,120,300,TRUE,E01;E10,TRUE,0.946,TRUE,0.861,FALSE,0.504
RE1-TT_ts-order-service_cpu_1,RE1-TT,ts-order-service,cpu,1,1693207365,180,120,300,TRUE,E01,TRUE,0.883,FALSE,0.808,FALSE,0.508
RE1-TT_ts-order-service_cpu_2,RE1-TT,ts-order-service,cpu,2,1693244807,180,120,300,TRUE,E01,TRUE,0.819,FALSE,0.66,FALSE,0.508
RE1-TT_ts-order-service_cpu_3,RE1-TT,ts-order-service,cpu,3,1693271487,180,120,300,TRUE,E01,TRUE,0.937,TRUE,0.792,FALSE,0.512
RE1-TT_ts-order-service_cpu_4,RE1-TT,ts-order-service,cpu,4,1693296215,180,120,300,TRUE,E01,TRUE,0.903,TRUE,0.777,FALSE,0.637
RE1-TT_ts-order-service_cpu_5,RE1-TT,ts-order-service,cpu,5,1693320905,180,120,300,TRUE,E01,TRUE,0.923,FALSE,0.628,FALSE,0.5
RE1-TT_ts-route-service_cpu_1,RE1-TT,ts-route-service,cpu,1,1693192598,180,120,300,TRUE,E01;E05,TRUE,0.988,FALSE,0.804,FALSE,0.575
RE1-TT_ts-route-service_cpu_2,RE1-TT,ts-route-service,cpu,2,1693230051,180,120,300,TRUE,E01;E05,TRUE,1,TRUE,0.932,FALSE,0.508
RE1-TT_ts-route-service_cpu_3,RE1-TT,ts-route-service,cpu,3,1693254864,180,120,300,TRUE,E01;E10,TRUE,0.509,FALSE,0.554,FALSE,0.567
RE1-TT_ts-route-service_cpu_4,RE1-TT,ts-route-service,cpu,4,1693281425,180,120,300,TRUE,E01;E10,TRUE,1,TRUE,0.892,FALSE,0.512
RE1-TT_ts-route-service_cpu_5,RE1-TT,ts-route-service,cpu,5,1693306275,180,120,300,TRUE,E01;E10,TRUE,0.999,TRUE,0.692,FALSE,0.592
RE1-TT_ts-train-service_cpu_1,RE1-TT,ts-train-service,cpu,1,1693197647,180,120,300,TRUE,E01;E10,TRUE,0.998,TRUE,0.894,FALSE,0.517
RE1-TT_ts-train-service_cpu_2,RE1-TT,ts-train-service,cpu,2,1693234802,180,120,300,TRUE,E01;E10,TRUE,0.722,TRUE,0.807,FALSE,0.504
RE1-TT_ts-train-service_cpu_3,RE1-TT,ts-train-service,cpu,3,1693261071,180,120,300,TRUE,E01;E10,TRUE,0.578,FALSE,0.74,FALSE,0.6
RE1-TT_ts-train-service_cpu_4,RE1-TT,ts-train-service,cpu,4,1693286203,180,120,300,TRUE,E01,FALSE,0.59,FALSE,0.748,FALSE,0.5
RE1-TT_ts-train-service_cpu_5,RE1-TT,ts-train-service,cpu,5,1693310996,180,120,300,TRUE,E01;E05,TRUE,1,TRUE,0.833,FALSE,0.55
RE1-TT_ts-travel-service_cpu_1,RE1-TT,ts-travel-service,cpu,1,1693221749,180,120,300,TRUE,E01;E10,FALSE,0.43,TRUE,0.917,FALSE,0.571
RE1-TT_ts-travel-service_cpu_2,RE1-TT,ts-travel-service,cpu,2,1693240079,180,120,300,TRUE,E01,TRUE,0.998,TRUE,0.759,FALSE,0.579
RE1-TT_ts-travel-service_cpu_3,RE1-TT,ts-travel-service,cpu,3,1693266595,180,120,300,TRUE,E01,TRUE,0.981,FALSE,0.721,FALSE,0.725
RE1-TT_ts-travel-service_cpu_4,RE1-TT,ts-travel-service,cpu,4,1693291482,180,120,300,TRUE,E01,TRUE,1,TRUE,0.741,FALSE,0.512
RE1-TT_ts-travel-service_cpu_5,RE1-TT,ts-travel-service,cpu,5,1693316211,180,120,300,TRUE,E01,TRUE,0.991,FALSE,0.55,FALSE,0.558
