"dataset","method","case_id","fault","w1_false_alarm","first_alarm_window"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_4","delay",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_delay_5","delay",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_1","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_2","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_3","disk",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_4","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_disk_5","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_1","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_2","mem",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_3","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_4","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_cartservice_mem_5","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_1","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_2","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_3","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_4","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_cpu_5","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_1","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_2","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_3","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_4","delay",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_delay_5","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_1","disk",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_2","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_3","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_4","disk",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_disk_5","disk",FALSE,"W3"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_1","mem",FALSE,"W6"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_2","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_3","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_4","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_checkoutservice_mem_5","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_1","cpu",FALSE,"W5"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_2","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_3","cpu",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_4","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_cpu_5","cpu",FALSE,"W3"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_1","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_2","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_3","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_4","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_delay_5","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_1","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_2","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_3","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_4","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_disk_5","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_1","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_2","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_3","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_4","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_currencyservice_mem_5","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_1","cpu",FALSE,"W3"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_2","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_3","cpu",FALSE,"W3"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_4","cpu",FALSE,NA
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_1","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_2","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_3","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_4","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_delay_5","delay",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_1","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_2","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_3","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_4","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_disk_5","disk",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_1","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_2","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_3","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_4","mem",FALSE,"W2"
"RE1-OB","Isolation Forest","RE1-OB_productcatalogservice_mem_5","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_2","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_3","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_4","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_adservice_cpu_5","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_1","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_2","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_3","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_4","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_adservice_delay_5","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_1","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_2","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_3","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_4","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_disk_5","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_1","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_2","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_3","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_4","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_adservice_mem_5","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_2","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_3","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_4","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_cpu_5","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_1","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_2","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_3","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_4","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_delay_5","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_1","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_2","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_3","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_4","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_disk_5","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_1","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_2","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_3","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_4","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_cartservice_mem_5","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_1","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_2","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_3","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_4","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_1","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_2","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_3","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_4","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_delay_5","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_1","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_2","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_3","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_4","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_disk_5","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_1","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_2","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_3","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_4","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_checkoutservice_mem_5","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_1","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_2","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_3","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_4","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_1","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_2","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_3","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_4","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_delay_5","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_1","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_2","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_3","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_4","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_disk_5","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_1","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_2","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_3","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_4","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_currencyservice_mem_5","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_2","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_3","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_4","cpu",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_1","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_2","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_3","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_4","delay",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_delay_5","delay",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_1","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_2","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_3","disk",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_4","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_disk_5","disk",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_1","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_2","mem",FALSE,NA
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_3","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_4","mem",FALSE,"W2"
"RE1-OB","OC-SVM","RE1-OB_productcatalogservice_mem_5","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_cpu_2","cpu",FALSE,"W3"
"RE1-OB","PCA","RE1-OB_adservice_cpu_3","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_cpu_4","cpu",FALSE,"W4"
"RE1-OB","PCA","RE1-OB_adservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_delay_1","delay",FALSE,NA
"RE1-OB","PCA","RE1-OB_adservice_delay_2","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_delay_3","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_delay_4","delay",FALSE,NA
"RE1-OB","PCA","RE1-OB_adservice_delay_5","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_disk_1","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_disk_2","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_disk_3","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_disk_4","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_disk_5","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_mem_1","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_mem_2","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_mem_3","mem",FALSE,NA
"RE1-OB","PCA","RE1-OB_adservice_mem_4","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_adservice_mem_5","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_cpu_2","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_cpu_3","cpu",FALSE,NA
"RE1-OB","PCA","RE1-OB_cartservice_cpu_4","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_delay_1","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_delay_2","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_delay_3","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_delay_4","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_delay_5","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_disk_1","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_disk_2","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_disk_3","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_disk_4","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_disk_5","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_mem_1","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_mem_2","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_mem_3","mem",FALSE,"W3"
"RE1-OB","PCA","RE1-OB_cartservice_mem_4","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_cartservice_mem_5","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_2","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_3","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_4","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_1","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_2","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_3","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_4","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_delay_5","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_1","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_2","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_3","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_4","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_disk_5","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_1","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_2","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_3","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_4","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_checkoutservice_mem_5","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_1","cpu",FALSE,"W5"
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_2","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_3","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_4","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_delay_1","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_delay_2","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_delay_3","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_delay_4","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_delay_5","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_disk_1","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_disk_2","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_disk_3","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_disk_4","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_disk_5","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_mem_1","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_mem_2","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_mem_3","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_mem_4","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_currencyservice_mem_5","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_1","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_2","cpu",FALSE,NA
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_3","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_4","cpu",FALSE,"W3"
"RE1-OB","PCA","RE1-OB_productcatalogservice_cpu_5","cpu",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_1","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_2","delay",FALSE,NA
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_3","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_4","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_delay_5","delay",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_1","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_2","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_3","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_4","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_disk_5","disk",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_1","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_2","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_3","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_4","mem",FALSE,"W2"
"RE1-OB","PCA","RE1-OB_productcatalogservice_mem_5","mem",FALSE,"W2"
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_1","cpu",FALSE,"W2"
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_2","cpu",FALSE,NA
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_3","cpu",FALSE,"W2"
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_4","cpu",FALSE,"W3"
"RE1-SS","Isolation Forest","RE1-SS_carts_cpu_5","cpu",FALSE,"W2"
"RE1-SS","Isolation Forest","RE1-SS_carts_delay_1","delay",FALSE,"W2"
"RE1-SS","Isolation Forest","RE1-SS_carts_delay_2","delay",FALSE,"W2"
